[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.021676887661131652
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.3015588582595607
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.057198095435234
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.002111939788285912
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.578564304998382
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.401384316543561
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.0006021240750322831
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.159864365766023
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.3234037206334666
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.024110908830992994
[2023-03-19 23:22:05.709] [logger] [info] lambda = -3.249180021388807
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.832353125260324
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.010491256476945536
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.597872525312863
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.795573540868648
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.06780960083604055
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.730169953906483
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.6515382907373826
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.00839227698983947
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.197773924031392
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.23634743300124
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.02052280614972961
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.4622719956079764
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.985445230101186
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.0764941793425846
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.6269941229225284
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.160445848468664
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.004572798869578396
[2023-03-19 23:22:05.709] [logger] [info] lambda = -1.9666416899791885
[2023-03-19 23:22:05.709] [logger] [info] lambda = 1.9648856672088044
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.00039073332465059416
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.4161533031146964
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.553894381041946
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.003792788467231094
[2023-03-19 23:22:05.709] [logger] [info] lambda = -3.0921498097812443
[2023-03-19 23:22:05.709] [logger] [info] lambda = 3.1254539270709496
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.018579450346770707
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.709644932933545
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.4936743796324947
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.001610760052661781
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.8075810714841163
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.612112394902076
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.007134658188654335
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.850203145031566
[2023-03-19 23:22:05.709] [logger] [info] lambda = 3.0703948389313376
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.01677992747268386
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.3455254227909332
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.436688056855847
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.0024447056463336955
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.7996168396760863
[2023-03-19 23:22:05.709] [logger] [info] lambda = 3.1012112672209744
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.011664357199088949
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.4883579816518258
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.782003883192457
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.004780091615212552
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.587280129187726
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.5649917473346444
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.0044819873638311985
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.2895958992874674
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.2916473879733035
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.003414815700628326
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.8053906676851437
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.6763790017519837
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.0013287303451513528
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.558160927533676
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.400285784607033
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.0068476668810249965
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.3754442281279196
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.2966264305772985
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.007286191864699405
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.2707969295491446
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.254426414955153
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.009693448672994985
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.873949167519046
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.9034688607883985
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.02224202059195009
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.715568007260537
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.763993407292776
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.0036115127581334014
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.267023239221496
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.193489005490236
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.0718987341625485
[2023-03-19 23:22:05.710] [logger] [info] lambda = -3.4814374658244374
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.6874980035409712
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.033862417571397095
[2023-03-19 23:22:05.710] [logger] [info] lambda = -3.5044121336381346
[2023-03-19 23:22:05.710] [logger] [info] lambda = 3.55284803286029
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.003764388644044976
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.465007700218144
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.3901353471236866
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.019464613672684376
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.754407038738538
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.6649751041872016
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.008694602870367071
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.685169106802318
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.613526506386689
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.0022146600558441668
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.002210860940767
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.175450131992571
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.004225306224406894
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.4886416017363615
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.479479960732842
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.011882521408469807
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.290746856301378
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.5029976195418935
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.0010052279996309761
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.812273952851022
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.7960018862356404
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.051687643175242326
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.3706714634552397
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.024647612209627
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.02571824317018117
[2023-03-19 23:22:05.710] [logger] [info] lambda = -3.075448587440456
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.590324100004104
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.023831538343423206
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.8382516837005043
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.5627904205098324
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.004463078269334756
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.6579609344977455
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.6806032790938144
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.04428026594536671
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.8168326119665177
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.4514992961273445
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.04439779416039378
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.453672712859402
[2023-03-19 23:22:05.710] [logger] [info] lambda = 3.040617347411196
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.0018342959359877106
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.472807142531445
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.477042041802934
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.015363335921113948
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.5564002893685553
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.5780424090146576
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.12225394236702292
[2023-03-19 23:22:05.710] [logger] [info] lambda = -3.0431261071085043
[2023-03-19 23:22:05.710] [logger] [info] lambda = 3.219043408992697
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.0018973635390541733
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.583016281312998
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.60128233835017
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.003192867654086482
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.464175829458666
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.418583097297522
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.05495554917848686
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.288227080570671
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.4619560576581185
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.006427793225374465
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.6595909616337083
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.5002250478919397
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.001367638939251415
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.702372052182545
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.497109287336214
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.007541490407490572
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.3648926142832063
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.2270014974190513
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.007757147873770731
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.3496373226096314
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.526938879345346
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.01779383878912509
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.1194599360859496
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.135125613765881
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.038050676722080026
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.6992000242002736
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.380863426721892
[2023-03-19 23:22:05.710] [logger] [info] lambda = -9.627668847704587e-05
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.8358455587593507
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.602187293587067
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.003653954576190985
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.529686568979307
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.3060920103136087
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.04008855906557792
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.9210549586532952
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.5273666408243556
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.030322756697764387
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.4944923084855133
[2023-03-19 23:22:05.710] [logger] [info] lambda = 3.143084919663562
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.04339392204551535
